sanskrit_devanagari,sanskrit_roman,english_name,english_aliases,classical_synonyms,source_text,source_verse_ids,source_example,ambiguity_notes,verification_status,verified_by
तृष्णा,Trishna,excessive thirst,thirst|polydipsia,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0035|BPN_0056|BPN_0071|BPN_0090|BPN_0135|BPN_0136|BPN_0139|BPN_0144|BPN_0163|BPN_0164|BPN_0176|BPN_0199|BPN_0204|BPN_0238|BPN_0252|BPN_0279|BPN_0283|BPN_0286|BPN_0288|BPN_0310|BPN_0323|BPN_0357|BPN_0363|BPN_0369|BPN_0405|BPN_0540|BPN_0562|BPN_0571|BPN_0573|BPN_0786|BPN_0806|BPN_1028|BPN_1042|BPN_1050|BPN_1107|BPN_1113,"अवृष्य, मूत्रल, दीपन, पाचन, ज्वरघ्न, रोचक, ग्राहि, त्रिदोषनुत्, तृष्णा-दाह-वमि-श्वास-कास-कार्श्य-क्रिमिप्रणुत् || बृंहणी, वृष्या, बल्या, तृष्णा-कास-ज्वर-श्वास-क्षय-पित्तास्र-कामल-कुष्ठ-व्रण-पाण्डु-वातकृच्छ्रजित्",Symptom/category,PROVISIONAL_TEST_ONLY,
त्रिदोष,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0012|BPN_0069|BPN_0076|BPN_0120|BPN_0213|BPN_0221|BPN_0283|BPN_0324|BPN_0330|BPN_0388|BPN_0409|BPN_0434|BPN_0569|BPN_0632|BPN_0662|BPN_0706|BPN_0710|BPN_0711|BPN_0781|BPN_0792|BPN_0877|BPN_0982|BPN_1028|BPN_1059|BPN_1083|BPN_1091,"रक्त-पित्त-प्रमेहघ्न, वृष्य, रसायन, वातह, त्रिदोषजित् || बल्या, त्रिदोषघ्नी, शुक्ला, प्राणैश्वर्यकरी, मूर्च्छा-रक्त-पित्त-विनाशिनी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
त्रिदोषा,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0270,"शिरःपीडाहर, त्रिदोषाहर, दुग्धदा",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
त्रीदोष,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0568,"वृष्य, त्रीदोषहृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
त्वगामय,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0022|BPN_0286|BPN_0313,"त्र्यूषणं, दीपन, श्वास-कास-त्वगामयहर, गुल्म-मेह-कफ-स्थौल्य-मेदः-श्लीपद-पीनसहर || कफ-पित्ता-अस्र-वीसर्प-तृष्णा-दाह-त्वगामयहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
दाह,Daha,burning sensation,burning,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0030|BPN_0035|BPN_0055|BPN_0060|BPN_0066|BPN_0074|BPN_0075|BPN_0136|BPN_0145|BPN_0149|BPN_0152|BPN_0176|BPN_0178|BPN_0179|BPN_0187|BPN_0189|BPN_0194|BPN_0197|BPN_0201|BPN_0204|BPN_0213|BPN_0223|BPN_0238|BPN_0246|BPN_0263|BPN_0276|BPN_0278|BPN_0279|BPN_0280|BPN_0282|BPN_0285|BPN_0286|BPN_0287|BPN_0288|BPN_0290|BPN_0294|BPN_0296|BPN_0329|BPN_0354|BPN_0363|BPN_0368|BPN_0370|BPN_0371|BPN_0377|BPN_0386|BPN_0394|BPN_0396|BPN_0401|BPN_0410|BPN_0411|BPN_0417|BPN_0423|BPN_0426|BPN_0438|BPN_0445|BPN_0458|BPN_0475|BPN_0483|BPN_0493|BPN_0524|BPN_0542|BPN_0544|BPN_0564|BPN_0602|BPN_0658|BPN_0659|BPN_0662|BPN_0706|BPN_0722|BPN_0734|BPN_0780|BPN_0786|BPN_0789|BPN_0834|BPN_0969|BPN_1003|BPN_1011|BPN_1013|BPN_1017|BPN_1028|BPN_1042|BPN_1048|BPN_1096|BPN_1100|BPN_1107,"अवृष्य, मूत्रल, दीपन, पाचन, ज्वरघ्न, रोचक, ग्राहि, त्रिदोषनुत्, तृष्णा-दाह-वमि-श्वास-कास-कार्श्य-क्रिमिप्रणुत् || बल्य, शुक्रकफप्रद, पित्त-दाह-अस्र-कार्श्य-वात-क्षयापह",Site must be specified,PROVISIONAL_TEST_ONLY,
दाहविस्फोट,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0438,दाहविस्फोटहृत्,Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
दुर्गन्धका,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0351,"कुष्ठहरी, ऊर्ध्वाधःकायशोधिनी, विष-दुर्गन्धकाघ्नी, गुल्मोउदरविनाशिनी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
दुर्नाम,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0311,"वात-श्लेष्महर, अस्थियुक्, सर, कृमिघ्न, दुर्नामघ्न, अक्षिरो-गजित्, वृष्य, पाचन, पित्तल",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
दृक्छुक्रवात,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0739,"दृक्छुक्रवातघ्नी, कफ-पित्त-विनाशिनी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
दृढता,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0986,"बल-मेधा-अग्नि-मांस-ओजः-शुक्रवृद्धिकृत्, तर्पण, रोचन, दृढताकर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
दृन्तशोथ,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0791,"रुच्य, दुर्जर, कफ-वातकृत्, विष्टम्भजनक, पित्तनुत्, दृन्तशोथहृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
दृष्टि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0461,"अतीसारक-कफ-पित्त-प्रमेह-नुत्, असृग्-दृष्टिहर, रुचिकृत्, ग्राहि, वातल",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
दृष्टिबल,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0632,"त्रिदोषघ्न, रसायन, योगवाही, महावृष्य, सदा-दृष्टिबलप्रद, सर्वामयहर, विशेषात्सर्वकुष्ठनुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
दोष,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0784|BPN_1061,"दोषघ्न, वात-कफापह, कण्डू-कास-क्रिमि-श्वास-दद्रु-कुष्ठप्रणुत् || अभिष्यन्दि, दोषकृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
दोषत्रय,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0212|BPN_0223|BPN_0279|BPN_0376|BPN_0531|BPN_0789|BPN_0831|BPN_0832|BPN_0931|BPN_1042,"छर्दि-ज्वर-श्वासा-अतिसार-जित्, शोष-दोषत्रयहरी, बृंहणी, रसायनी, विषहरी, क्षतकास-कृमिप्रणुत् || शुक्रला, चक्षुष्या, क्षतशोथघ्नी, ग्राहिणी, ज्वरदाहनुत्, दोषत्रयहरी, ग्रहणी, अर्शो-अतिसारजित्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
दोषत्रयविदाह,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1096,"घन, सृष्टविण्मूत्र, दोषत्रयविदाहकृत्, मन्द, अव्यक्तरस",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
दोषत्रयास्र,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0194,"दोषत्रयास्रजित्, त्वगामय-स्वेद-कृच्छ्र-दाह-पित्ता-अस्ररोगनुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
दौर्गन्ध्य,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0136|BPN_0188,"वृष्य, चक्षुष्य, लेखन, सुरभि, कफ-पित्त-विषापह, दाह-तृष्णाऽ-आस्यवैरस्य-मेदो-दौर्गन्ध्यनाशन || दीपन, कफ-वात-विष-श्वास-कण्डू-दौर्गन्ध्यनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
द्भूतगदान्त,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0562,"रुचिकर, हृद्य, क्षतक्षयहर, तर्पण, रक्त-पित्तघ्न, पुष्टि-विष्टम्भ-शुक्रद, कोष्ठ-मारुत-हृत्, बल्य, वान्ति-वात-कफा-पह, ज्वरा-अतिसार-क्षुत्तृष्णा-कास-श्वास-निवारक, मद-मूर्च्छा-मरुत्-पित्त-मद्यो-द्भूतगदान्तकृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
धातुपुष्टि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0261,"वातनिर्हार, श्लेष्मघ्न, धातुपुष्टिकृत्, आग्नेय, मत्स्यनिषूदन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
नयनामय,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0831,"रुच्य, पाचन, दोषत्रयहर, स्वर्य, ज्वर-श्वास-विनाशन, नासिका-कण्ठरोगघ्न, नयनामयनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
नातिपित्त,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0913,"वर, वृष्य, अर्दितार्तिजित्, वातघ्न, नातिपित्तकृत्, ऊर्ध्वजत्रुगतरोगहन्य",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
नाश,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0164,"नेत्रहित, दीपन, पाचन, रुच्य, कफ-पित्ता-अस्र-नाशकृत्, तृष्णा-छर्दि-आध्मान-शूल-कास-श्वास-हिक्का-क्षय- आशुविनाशक",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
निःशेषविष,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0356,"पित्त-कफा-पहा, मूत्र-कृच्छ्र-व्रणरक्ष, जाल-गर्दभ-सर्व-ग्रह-प्रशमनी, निःशेषविषनाशिनी, जयकार, धनदासुमतिप्रदा",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
निद्रा,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1025|BPN_1074,"श्रमनाशन, क्लमहर, मूर्च्छा-पिपासापहं, तन्द्रा-च्छर्दि-विबन्ध-हृद्बलकर, निद्राहर, तर्पण, हृद्य, गुप्तरस, अजीर्णशमक, नित्यहित,  स्वच्छ, पीयूषवज्जीवन, रसकारण || शुक्रकर, निद्राकर, अभिष्यन्दि, क्षुधाधिक्यहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
नेत्ररोग,Netraroga,eye-disease group,eye disorder,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0969,,Broad category,PROVISIONAL_TEST_ONLY,
नेत्रामय,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0635,"हिङ्गुल, नेत्रामयघ्न, कफपित्तहारि, हृल्लास-कुष्ठ-ज्वर-कामला-प्लीहा-आम-वात-विषहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
पक्तिशूल,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0720,"रुच्य, अनिलापह,  स्रंसन, तर्पण, बल्य, शुक्रल, बृंहण, भिन्नमूत्रमल, स्तन्य, मेद-पित्त-कफप्रद, गुदकीला-अर्दितश्वास-पक्तिशूलनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
पाण्डु,Pandu,anemia-like disorder,pallor disorder,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0056|BPN_0094|BPN_0100|BPN_0128|BPN_0201|BPN_0208|BPN_0231|BPN_0314|BPN_0320|BPN_0416|BPN_0424|BPN_0429|BPN_0447|BPN_0458|BPN_0616|BPN_0618|BPN_0622|BPN_0624|BPN_0789|BPN_0838,"बृंहणी, वृष्या, बल्या, तृष्णा-कास-ज्वर-श्वास-क्षय-पित्तास्र-कामल-कुष्ठ-व्रण-पाण्डु-वातकृच्छ्रजित् || कफपित्तनुत्, वर्ण्या, त्वग्दोष-मेहा-अस्र-शोथ-पाण्डु-व्रणापहा",Not automatically equivalent to laboratory-confirmed anemia,PROVISIONAL_TEST_ONLY,
पाण्डुरोग,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0622,"शोधन, पाण्डुरोगघ्न, कृमिघ्न, नातिलेखन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
पित,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0810,"कफ-वात-कृत्, पितघ्नी, दीपनी, श्वास-ज्वर-कास-कृमि-प्रणुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
पित्त,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0013|BPN_0020|BPN_0023|BPN_0026|BPN_0037|BPN_0095|BPN_0113|BPN_0144|BPN_0168|BPN_0202|BPN_0203|BPN_0321|BPN_0326|BPN_0341|BPN_0358|BPN_0363|BPN_0364|BPN_0368|BPN_0382|BPN_0384|BPN_0399|BPN_0402|BPN_0417|BPN_0427|BPN_0428|BPN_0439|BPN_0444|BPN_0468|BPN_0471|BPN_0488|BPN_0505|BPN_0509|BPN_0532|BPN_0548|BPN_0554|BPN_0556|BPN_0562|BPN_0564|BPN_0567|BPN_0570|BPN_0571|BPN_0595|BPN_0620|BPN_0621|BPN_0648|BPN_0650|BPN_0698|BPN_0700|BPN_0716|BPN_0719|BPN_0723|BPN_0731|BPN_0733|BPN_0746|BPN_0751|BPN_0754|BPN_0755|BPN_0775|BPN_0777|BPN_0779|BPN_0781|BPN_0788|BPN_0790|BPN_0795|BPN_0806|BPN_0807|BPN_0815|BPN_0822|BPN_0835|BPN_0863|BPN_0867|BPN_0878|BPN_0879|BPN_0888|BPN_0914|BPN_0915|BPN_0916|BPN_0919|BPN_0923|BPN_0927|BPN_0929|BPN_0947|BPN_0961|BPN_0987|BPN_0988|BPN_0989|BPN_1007|BPN_1022|BPN_1035|BPN_1037|BPN_1048|BPN_1053|BPN_1057|BPN_1060|BPN_1066|BPN_1081|BPN_1100,"कफ-पित्तघ्नी, मेह-कुष्ठहरा, सरा, चक्षुष्या, दीपनी, रुच्या, विषम-ज्वरनाशिनी || दीपन, कफ-वातजित्, पित्तकर, श्वास-शूल-कृमिहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
पित्तजरोग,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0280,"सर, मूत्र-कृच्छ्रा-अश्म-दाहा-अस्र-क्षय-पित्तजरोगजित्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
पित्तप्र,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0708,"बद्धवर्चस, वात-पित्तप्रशमन, शालिसदृशगुण",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
पित्तशुक्र,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0731,"अतिकोमल, रुच्य, पित्तशुक्रहर, वातल, ग्राही, कफ-पित्तहर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
पीनस,Pinasa,chronic nasal/sinus disorder,chronic rhinitis|sinusitis-like disorder,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0022|BPN_0148|BPN_0162|BPN_0167|BPN_0169|BPN_0601|BPN_0613|BPN_0734|BPN_0893|BPN_0902|BPN_0957,"त्र्यूषणं, दीपन, श्वास-कास-त्वगामयहर, गुल्म-मेह-कफ-स्थौल्य-मेदः-श्लीपद-पीनसहर || विबन्धा-अध्मान-शोथा-आम-तन्द्रा-हिक्का-ज्वरा-अस्रजित्, प्रमेह-पीनस-श्लेष्म-कास-कण्डू-समीरनुत्",Not automatically bacterial sinusitis,PROVISIONAL_TEST_ONLY,
पुष्टि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0900|BPN_0933|BPN_0935|BPN_1101,"पुष्टिकर, पित्त-श्लेष्मकर || वृष्य, पुष्टिकर, कफमेदप्रद, बल्य, ग्लानिकृत्-मेहनाशन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
प्रतिश्याय,Pratishyaya,rhinitis / nasal catarrh,runny nose|rhinitis,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0077|BPN_0406|BPN_1093,"पित्त-कफ-च्चातुर्थिकहर, वातकर, प्रतिश्यायनिवारण || दीपन, ग्राहि, पित्ता-अस्र-शोथ-मेदः-कफप्रद| मूत्रकृच्छ्र-प्रतिश्याय-शीतग-विषमज्वर-अतीसार-अरुचि-कार्ये शस्यते| बल-शुक्रकृत्",Classical category,PROVISIONAL_TEST_ONLY,
प्रमेह,Prameha,urinary-metabolic disorder group,diabetes|high blood sugar|polyuria|metabolic disorder,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0001|BPN_0012|BPN_0016|BPN_0074|BPN_0087|BPN_0089|BPN_0148|BPN_0219|BPN_0242|BPN_0256|BPN_0355|BPN_0447|BPN_0452|BPN_0458|BPN_0461|BPN_0595|BPN_0608|BPN_0650|BPN_0775|BPN_0789|BPN_0839,"दीपनी, मेध्या, रसायनी, चक्षुष्या, आयुष्या, बृंहणी, अनुलोमिनी,   श्वास, कास, प्रमेह, अर्श, कुष्ठ, शोथ, उदरक्रिमी  वैस्वर्य, ग्रहणीरोग, विबन्ध,विषमज्वर,  गुल्म, आध्मान, तृषा, छर्दि, हिक्का, कण्डू, हृदामय,  कामला, शूल, अनाह, प्लीह, यकृत्,  अश् || रक्त-पित्त-प्रमेहघ्न, वृष्य, रसायन, वातह, त्रिदोषजित्",Diabetes is routed here only as a provisional broad retrieval term; not a one-to-one diagnosis,PROVISIONAL_TEST_ONLY,
प्रवाहिका,Pravahika,dysentery-like disorder,dysentery|tenesmus,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0445,"ग्राही, वृष्य, प्रवाहिका-अतिसारा-आम-कफ-पित्ता-अस्र-दाहनुत्",Not automatically infectious dysentery,PROVISIONAL_TEST_ONLY,
प्लीहोदावर्त्त,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0581,"भेदन, दीपन, हृद्रोग-शूल-गुल्मघ्न, पित्तल, लोमहर्षण, विण्मूत्रदोषघ्न, प्लीहोदावर्त्तनाशन, हिक्का-आनाह-अरुचि-श्वास-कासा-अजीर्ण-वमिप्रणुत्, कफवातामयध्वंसिच्छागमांसद्रवत्वकृत्, लोहसूचीद्रवत्वकृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
फिरङ्गामय,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0049,"वह्निदीप्तिकृत्, विबन्ध -अध्मान-शूलघ्नी, शकृन्मूत्रविशोधिनी, वात-व्याधी-अपस्मार-उन्माद-तनुवेदनव्यपोह, विशेष-फिरङ्गामयनाशिनी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
बलवर्ण,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0071,"चक्षुष्या, बलवर्णकृत्, शुक्रला, केश्या, स्वर्या, पित्त-अनिल-अस्रजित्, व्रण-शोथ-विषच्छर्दि-तृष्णा-ग्लानि-क्षयापहा",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
बलवि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1084,"अभीष्यन्दि, श्लेष्म-आमवर्द्धन, हितं, कफवातघ्न, पित्तनुत्, वृष्य, बलविवर्धन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
बलवीर्य,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0109,"कफकृत्, नातिपित्तल, केवलवातहर, बलवीर्यकर",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
बलवीर्यवपुःपुष्टि,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0614,"गुल्मोदरा-अर्शः-शूलाम-आमवात-भगन्दर, कामला-शोथ-कुष्ठ-क्षय-कान्तमयहर, प्लीहा-अम्लपित्त-यकृत्छिरोहर, सर्वरोगविजयी, बलवीर्यवपुःपुष्टिकर, अग्निविवर्धन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
बलसन्धान,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0316,"वृष्या, बलसन्धानकृत्, सरा, वातहृत्, वात-रक्त-कफापहा",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
बलसुख,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0466,"वृष्य, बलसुखप्रद, वातहर, हृद्य, वर्ण्य, अपित्तल, वह्नि-श्लेश्म-शुक्र-विवर्द्धन",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
बलास,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0426|BPN_0817,"शोषहारिणी, मेद-कुष्ठ-श्वित्र-वमि-क्रिमी-हर, वस्तिरुग्-व्रण-दाहा-अस्र-बलासहर,  गर्भपातिनी || अपित्तल, ज्वर-वात-बलासघ्न, दीपन, शुक्रल",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
बलासवात,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0187,"पित्तला, दीपनी, मेध्या, पाचनी, गर्भपातिनी, बलासवातकृत्, तृट्कण्डू-विष-दाहनुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
भक्ताभिलाष,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1113,"क्लमहर, बल्य, भक्ताभिलाषकृत्, स्रोतोविशोधन, ह्लादि, कफ-तृष्णा-अनिलापह, अवृष्य, प्रीणन, शीघ्र-मलसञ्चयापह",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
भगन्दर,Bhagandara,fistula-in-ano,anal fistula,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0608|BPN_0614,"गुल्मोदरा-अर्शः-शूलाम-आमवात-भगन्दर, कामला-शोथ-कुष्ठ-क्षय-कान्तमयहर, प्लीहा-अम्लपित्त-यकृत्छिरोहर, सर्वरोगविजयी, बलवीर्यवपुःपुष्टिकर, अग्निविवर्धन",Classical category,PROVISIONAL_TEST_ONLY,
भग्नसंधान,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0441,"दीपन, वृष्य, सर, व्रण-गुल्मजित्, भग्नसंधानकृत्, दोष-ग्रहणि-अर्शः-क्रिमीहर, गुदजरोगजित्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
भग्नसन्धानवात,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0744,"भग्नसन्धानवातकृत्, बृंहणी, श्लेष्महर, वाजिगुणकृत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
भूरिबल,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0721,"तर्पण, सर, वातकर, रुच्य, स्तन्य, भूरिबलप्रद",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
भ्रम,Bhrama,vertigo / dizziness,dizziness|vertigo,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0204|BPN_0238|BPN_0242|BPN_0302|BPN_0322|BPN_0456|BPN_0572|BPN_0602|BPN_0780|BPN_0786,"दीपनी, पाचनी, मेध्या, भेदिनी, भ्रम-शोषजित्, दोष-तृष्णा-आम-शूला-आर्श-विष-दाह-ज्वरा-पहा || पित्ता-अस्र-भ्रम-तृष्णा-कफ-ज्वर-हर, संग्राही, दाहनुत्, वातल",Symptom/category,PROVISIONAL_TEST_ONLY,
मति,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_1028,"त्रिदोषघ्न, अनिर्देश्यरस, सौम्य, रसायन, बल्य, तर्पण,ह्लादी, जीवन, पाचन, मतिकृत्, मूर्च्छा-तन्द्रा-दाह-श्रम-क्लमह, तृष्णाहर, पथ्य",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
मधुमेह,Madhumeha,diabetes-like Prameha subtype,diabetes mellitus,,Bhavaprakasha Nighantu (legacy professor dataset; test use),,,Biomedical equivalence requires clinical review,PROVISIONAL_TEST_ONLY,
मन्दाग्नि,Mandagni,low digestive capacity,poor digestion|low appetite,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0774,,Ayurvedic functional concept,PROVISIONAL_TEST_ONLY,
मन्दाग्निविष,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0774,"वात-श्लेष्म-हरी, पटु, अर्शोघ्नी, दीपनी, मन्दाग्निविषनाशिनी",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
मलस्तम्भ,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0416,"मलस्तम्भकृत्, कफ-पित्त-व्रण-श्वित्र-कुष्ठ-पाण्डु-अर्श-कामलाजय",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
मानसरोग,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0339,"सरा, मेध्या, वृष्या, मानसरोगहृत्, रसायनी, स्मृति-कान्ति-बला-अग्निदा, दोषा-अपस्मार-भूताश्री-कुष्ठ-क्रिमि-विषप्रणुत्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
मान्द्य,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0214,"आस्यवैरस्य-मला-रोचक-नाशिनी, कुष्ठ-ज्वर-श्वास-शूल-कासा-अग्नि-मान्द्यजित्",Automatically extracted candidate; verify that this is a disease term and not an action/quality.,BAMS_REVIEW_REQUIRED,
